open,high,low,close,Volume,Volume MA,Date
89.45,94.96,87.89,92.23,2243607.71,1299655.7289999973,2022-03-01
92.23,93.57,86.11,86.99,2378948.35,1379991.087499997,2022-03-01
86.99,93.08,86.38,90.86,1376227.05,1372479.2469999974,2022-03-01
90.85,92.33,88.38,89.7,717216.8,1366068.2489999975,2022-03-01
89.69,94.6,88.12,93.96,1603325.19,1409540.4254999976,2022-03-02
93.98,97.29,91.35,94.23,1509990.87,1428801.5844999976,2022-03-02
94.23,94.95,92.26,92.96,959110.68,1412290.8799999976,2022-03-02
92.96,96.66,89.82,94.16,2320923.58,1480877.9764999975,2022-03-02
94.16,95.08,89.04,90.09,1444782.55,1509765.1109999977,2022-03-02
90.1,93.15,89.11,92.29,790998.07,1487895.8909999975,2022-03-02
92.3,93.89,90.64,93.56,1007491.82,1493093.0369999977,2022-03-03
93.56,93.9,91.15,92.9,630490.94,1457636.9699999976,2022-03-03
92.88,94.26,91.76,93.39,716021.13,1435924.1874999977,2022-03-03
93.39,94.14,89.34,90.44,1106320.83,1442799.0874999978,2022-03-03
90.46,91.32,86.78,88.65,1757262.68,1492876.2254999976,2022-03-03
88.64,91.45,87.39,90.52,789030.73,1393008.9129999976,2022-03-03
90.52,93.51,86.62,93.15,1533113.97,1378823.6854999976,2022-03-04
93.15,93.48,91.56,92.17,776597.4,1299387.4614999976,2022-03-04
92.18,92.95,90.16,90.82,877436.89,1271948.2999999975,2022-03-04
90.82,91.7,88.61,89.61,1349004.8,1294395.1019999976,2022-03-04
89.61,91.77,87.01,87.32,982426.01,1231336.0169999977,2022-03-04
87.33,89.25,82.76,83.44,1715942.68,1198185.7334999975,2022-03-04
83.44,83.57,80.28,81.7,1201477.5,1189448.2559999975,2022-03-05
81.7,85.89,81.04,85.45,820342.6,1194604.5459999975,2022-03-05
85.45,86.89,84.36,85.32,1035030.47,1166189.8099999973,2022-03-05
85.32,86.08,83.35,83.68,657731.41,1123576.8369999973,2022-03-05
83.68,87.97,83.5,87.95,839277.37,1117585.1714999974,2022-03-05
87.94,88.63,85.52,87.56,787948.27,1040936.4059999974,2022-03-05
87.55,88.38,85.73,85.88,487877.19,993091.1379999976,2022-03-06
85.87,86.7,84.45,84.91,681747.51,987628.6099999977,2022-03-06
84.9,84.99,81.19,82.8,1000517.08,987279.8729999976,2022-03-06
82.8,85.38,82.27,84.55,804578.35,995984.2434999974,2022-03-06
84.54,85.77,79.28,80.12,1146769.41,1017521.6574999976,2022-03-06
80.12,82.34,78.5,79.2,1182302.86,1021320.7589999974,2022-03-06
79.25,80.5,77.5,78.71,1148977.64,990906.5069999974,2022-03-07
78.72,80.42,78.38,78.78,605799.24,981744.9324999972,2022-03-07
78.79,81.88,78.68,81.64,732041.64,941691.3159999974,2022-03-07
81.65,83.9,81.65,82.68,1075189.54,956620.9229999974,2022-03-07
82.68,83.8,76.4,76.73,1376970.36,981597.5964999974,2022-03-07
76.75,78.86,75.58,77.8,1157472.51,972020.9819999974,2022-03-07
77.78,81.0,77.28,80.21,940188.07,969909.0849999974,2022-03-08
80.2,80.78,78.45,80.37,571953.68,912709.6349999972,2022-03-08
80.37,82.31,79.85,81.22,752339.92,890252.7559999975,2022-03-08
81.23,81.73,79.53,81.61,793577.97,888914.5244999973,2022-03-08
81.62,86.97,81.18,86.11,2073547.41,940840.3714999972,2022-03-08
86.11,86.28,83.85,85.28,678167.98,941862.1999999972,2022-03-08
85.31,94.5,84.87,93.5,1968578.77,998327.2699999972,2022-03-09
93.52,98.78,92.59,97.49,1744991.73,1046179.4429999972,2022-03-09
97.48,99.43,96.21,97.94,1515156.39,1097543.4029999971,2022-03-09
97.93,102.24,96.53,101.1,2289560.88,1177934.071499997,2022-03-09
101.1,104.83,99.05,100.67,2215685.85,1238692.5099999972,2022-03-09
100.67,101.25,98.25,99.21,864842.47,1241705.715999997,2022-03-09
99.22,99.69,96.15,96.84,1316610.25,1250197.7579999971,2022-03-10
96.85,97.24,92.96,94.95,1552684.54,1268716.841999997,2022-03-10
94.96,98.46,93.82,95.42,1348791.07,1278707.513499997,2022-03-10
95.43,103.4,92.02,102.24,2695856.56,1383210.379499997,2022-03-10
102.23,104.59,97.41,100.92,2255769.39,1459396.766999997,2022-03-10
100.91,102.5,98.63,101.16,973748.3,1454324.704999997,2022-03-10
101.19,101.78,95.39,97.37,1538275.3,1462389.9519999973,2022-03-11
97.37,99.7,94.49,98.97,1190145.62,1464023.6074999971,2022-03-11
98.97,101.06,95.45,98.97,1278865.52,1480957.4799999972,2022-03-11
98.96,99.98,92.31,93.06,1353601.49,1520039.870499997,2022-03-11
93.07,93.25,88.88,88.9,1645130.56,1564679.4024999968,2022-03-11
88.9,91.8,87.83,88.42,882976.01,1569149.304499997,2022-03-11
