Date,open,high,low,close,Volume,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend
2022-05-19 12:00:00,2.576,2.73,2.387,2.69,2025155.53,2.69,['hammer'],buy,0.3323615160349851,0.11661807580174939,0.5510204081632655,2.7965500000000003,1
2022-05-19 16:00:00,2.689,2.701,2.529,2.53,1258913.81,2.53,[],None,0.9244186046511634,0.06976744186046512,0.005813953488371448,2.77735,1
2022-05-19 20:00:00,2.528,2.73,2.493,2.666,881821.96,2.666,[],None,0.5822784810126576,0.27004219409282715,0.1476793248945153,2.7695999999999996,1
2022-05-20 00:00:00,2.67,2.809,2.604,2.698,1056565.78,2.698,['spanning top'],None,0.1365853658536586,0.5414634146341472,0.3219512195121942,2.76005,1
2022-05-20 04:00:00,2.698,2.729,2.578,2.633,464495.09,2.633,['bearish engulfing'],None,0.4304635761589393,0.2052980132450337,0.36423841059602696,2.7471500000000004,1
2022-05-20 08:00:00,2.633,2.723,2.631,2.694,524737.29,2.694,[],None,0.6630434782608684,0.3152173913043466,0.021739130434785023,2.73135,0
2022-05-20 12:00:00,2.694,2.703,2.408,2.467,988802.7,2.467,['bearish engulfing'],None,0.7694915254237286,0.030508474576270844,0.2000000000000006,2.6904,0
2022-05-20 16:00:00,2.462,2.71,2.407,2.584,1083539.09,2.584,[],None,0.40264026402640235,0.41584158415841554,0.18151815181518208,2.666,0
2022-05-20 20:00:00,2.584,2.645,2.54,2.621,280807.08,2.621,[],None,0.3523809523809517,0.22857142857142881,0.4190476190476195,2.6449000000000003,0
2022-05-21 00:00:00,2.621,2.66,2.539,2.575,302915.12,2.575,['bearish engulfing'],None,0.38016528925619686,0.32231404958677806,0.2975206611570251,2.6249,0
2022-05-21 04:00:00,2.578,2.66,2.565,2.624,357911.11,2.624,[],None,0.48421052631579126,0.3789473684210522,0.13684210526315657,2.6093,0
2022-05-21 08:00:00,2.624,2.631,2.553,2.57,290718.95,2.57,['bearish engulfing'],None,0.6923076923076972,0.08974358974358573,0.21794871794871715,2.5944,0
2022-05-21 12:00:00,2.574,2.68,2.552,2.658,420717.22,2.658,[],None,0.65625,0.17187500000000172,0.17187499999999828,2.5827999999999998,0
2022-05-21 16:00:00,2.657,2.678,2.614,2.643,335881.39,2.643,['spanning top'],None,0.21875000000000347,0.3281249999999983,0.4531249999999983,2.57125,0
2022-05-21 20:00:00,2.641,2.655,2.572,2.595,189408.31,2.595,[],None,0.5542168674698791,0.1686746987951787,0.2771084337349422,2.57805,0
2022-05-22 00:00:00,2.596,2.602,2.502,2.517,275310.43,2.517,['three black crows'],None,0.7900000000000011,0.05999999999999778,0.1500000000000011,2.5752499999999996,0
2022-05-22 04:00:00,2.515,2.575,2.5,2.559,189846.46,2.559,[],None,0.5866666666666658,0.21333333333333301,0.20000000000000118,2.5891,0
